Language Code	Language Name	English Name 1	English Name 2	English Name 3	English Name 4	English Name 5	Target  Name 1	Target  Name 2	Target  Name 3	Target  Name 4	Target  Name 5	Conjuntion of the names	Disjunction of the names	English Language 1	English Language 2	English Language 3	English Language 4	English Language 5	Target  Language 1	Target  Language 2	Target  Language 3	Target  Language 4	Target  Language 5	Conjuntion of languages	Disjunction of the languages
en	English	John	Fredrik	Olga	Nadeem	Botu	John	Fredrik	Olga	Nadim	Bodu	John, Fredrik, Olga, Nadim, and Bodu	John, Fredrik, Olga, Nadim, or Bodu	English	Chinese	Japanes	Spanish	English	English	Chinese	Japanes	Spanish	English	English, Chinese, Japanes, Spanish, and English	English, Chinese, Japanes, Spanish, or English
ar	Arabic	John	Fredrik	Olga	Nadeem	Botu	يوحنا	فريدريك	أولغا	نديم	بودو	يوحنا، فريدريك، أولغا، نديم، وبودو	يوحنا وفريدريك وأولغا ونديم أو بودو	English	Chinese	Japanes	Spanish	Arabic	الإنجليزية	صينى	جابانيس	الأسبانية	عربى	الإنجليزية، صينى، جابانيس، الأسبانية، وعربى	الإنجليزية وصينى وجابانيس والأسبانية أو عربى
nl	Dutch	John	Fredrik	Olga	Nadeem	Botu	John	Fredrik	Olga	Nadeem	Bodu	John, Fredrik, Olga, Nadeem en Bodu	John, Fredrik, Olga, Nadeem of Bodu	English	Chinese	Japanes	Spanish	Dutch	Engels	Chinese	japanes	Spaans	Nederlands	Engels, Chinese, japanes, Spaans en Nederlands	Engels, Chinese, japanes, Spaans of Nederlands
fr	French	John	Fredrik	Olga	Nadeem	Botu	John	Fredrik	Olga	Nadim	Bodu	John, Fredrik, Olga, Nadim et Bodu	John, Fredrik, Olga, Nadim ou Bodu	English	Chinese	Japanes	Spanish	French	Anglais	chinois	Japonais	Espanol	français	Anglais, chinois, Japonais, Espanol et français	Anglais, chinois, Japonais, Espanol ou français
de	German	John	Fredrik	Olga	Nadeem	Botu	John	Fredrik	Olga	Nadim	Bodu	John, Fredrik, Olga, Nadim und Bodu	John, Fredrik, Olga, Nadim oder Bodu	English	Chinese	Japanes	Spanish	German	Englisch	Chinesisch	Japaner	Spanisch	Deutsche	Englisch, Chinesisch, Japaner, Spanisch und Deutsche	Englisch, Chinesisch, Japaner, Spanisch oder Deutsche
it	Italian	John	Fredrik	Olga	Nadeem	Botu	John	Fredrik	Olga	Nadeem	bodu	John, Fredrik, Olga, Nadeem e bodu	John, Fredrik, Olga, Nadeem o bodu	English	Chinese	Japanes	Spanish	Italian	Inglese	Cinese	Japanes	spagnolo	italiano	Inglese, Cinese, Japanes, spagnolo e italiano	Inglese, Cinese, Japanes, spagnolo o italiano
ja	Japanese	John	Fredrik	Olga	Nadeem	Botu	ジョン	フレドリック	オルガ	ナディム	ボドゥ	ジョン、フレドリック、オルガ、ナディム、ボドゥ	ジョン、フレドリック、オルガ、ナディム、またはボドゥ	English	Chinese	Japanes	Spanish	Japanese	英語	中国語	日本	スペイン語	日本人	英語、中国語、日本、スペイン語、日本人	英語、中国語、日本、スペイン語、または日本人
ko	Korean	John	Fredrik	Olga	Nadeem	Botu	남자	프레드릭	올가	나딤	Bodu	남자, 프레드릭, 올가, 나딤 및 Bodu	남자, 프레드릭, 올가, 나딤 또는 Bodu	English	Chinese	Japanes	Spanish	Korean	영어	중국말	일본인	스페인 사람	한국어	영어, 중국말, 일본인, 스페인 사람 및 한국어	영어, 중국말, 일본인, 스페인 사람 또는 한국어
pl	Polish	John	Fredrik	Olga	Nadeem	Botu	Jan	Fredrik	Olga	Nadim	Bodu	Jan, Fredrik, Olga, Nadim i Bodu	Jan, Fredrik, Olga, Nadim lub Bodu	English	Chinese	Japanes	Spanish	Polish	język angielski	chiński	Japończycy	hiszpański	Polskie	język angielski, chiński, Japończycy, hiszpański i Polskie	język angielski, chiński, Japończycy, hiszpański lub Polskie
pt	Portuguese	John	Fredrik	Olga	Nadeem	Botu	John	Fredrik	Olga	Nadim	Bodu	John, Fredrik, Olga, Nadim e Bodu	John, Fredrik, Olga, Nadim ou Bodu	English	Chinese	Japanes	Spanish	Portuguese	Inglês	chinês	Japoneses	espanhol	Português	Inglês, chinês, Japoneses, espanhol e Português	Inglês, chinês, Japoneses, espanhol ou Português
ru	Russian	John	Fredrik	Olga	Nadeem	Botu	Джон	Фредрик	Ольга	Надим	Bodu	Джон, Фредрик, Ольга, Надим и Bodu	Джон, Фредрик, Ольга, Надим или Bodu	English	Chinese	Japanes	Spanish	Russian	английский	китайский язык	Japanes	испанский	русский	английский, китайский язык, Japanes, испанский и русский	английский, китайский язык, Japanes, испанский или русский
es	Spanish	John	Fredrik	Olga	Nadeem	Botu	Juan	Fredrik	Olga	Nadim	bodu	Juan, Fredrik, Olga, Nadim y bodu	Juan, Fredrik, Olga, Nadim o bodu	English	Chinese	Japanes	Spanish	Spanish	Inglés	chino	Japoneses	Español	Español	Inglés, chino, Japoneses, Español y Español	Inglés, chino, Japoneses, Español o Español
th	Thai	John	Fredrik	Olga	Nadeem	Botu	จอห์น	Fredrik	Olga	Nadeem	Bodu	จอห์น Fredrik Olga Nadeem และBodu	จอห์น, Fredrik, Olga, Nadeem หรือ Bodu	English	Chinese	Japanes	Spanish	Thai	อังกฤษ	ชาวจีน	ญี่ปุ่น	สเปน	ไทย	อังกฤษ ชาวจีน ญี่ปุ่น สเปน และไทย	อังกฤษ, ชาวจีน, ญี่ปุ่น, สเปน หรือ ไทย
tr	Turkish	John	Fredrik	Olga	Nadeem	Botu	John	Fredrik	Olga	Nadeem	Botu	John, Fredrik, Olga, Nadeem ve Botu	John, Fredrik, Olga, Nadeem veya Botu	English	Chinese	Japanes	Spanish	Turkish	ingilizce	Çince	Japon	İspanyol	Turkish	ingilizce, Çince, Japon, İspanyol ve Turkish	ingilizce, Çince, Japon, İspanyol veya Turkish
bg	Bulgarian	John	Fredrik	Olga	Nadeem	Botu	Джон	Фредрик	Олга	Nadeem	Bodu	Джон, Фредрик, Олга, Nadeem и Bodu	Джон, Фредрик, Олга, Nadeem или Bodu	English	Chinese	Japanes	Spanish	Bulgarian	Английски	Китайски	Japanes	испански	български	Английски, Китайски, Japanes, испански и български	Английски, Китайски, Japanes, испански или български
ca	Catalan	John	Fredrik	Olga	Nadeem	Botu	Joan	Fredrik	Olga	Nadim	Bodu	Joan, Fredrik, Olga, Nadim i Bodu	Joan, Fredrik, Olga, Nadim o Bodu	English	Chinese	Japanes	Spanish	Catalan	Anglès	Xinès	Japonesos	Castellà	Catalan	Anglès, Xinès, Japonesos, Castellà i Catalan	Anglès, Xinès, Japonesos, Castellà o Catalan
hr	Croatian	John	Fredrik	Olga	Nadeem	Botu	Ivan	Fredrik	Olga	Nadeem	Bodu	Ivan, Fredrik, Olga, Nadeem i Bodu	Ivan, Fredrik, Olga, Nadeem ili Bodu	English	Chinese	Japanes	Spanish	Croatian	Engleski	kineski	japanske	španjolski	Hrvatski	Engleski, kineski, japanske, španjolski i Hrvatski	Engleski, kineski, japanske, španjolski ili Hrvatski
cs	Czech	John	Fredrik	Olga	Nadeem	Botu	John	Fredrik	Olga	Nadim	Botu	John, Fredrik, Olga, Nadim a Botu	John, Fredrik, Olga, Nadim nebo Botu	English	Chinese	Japanes	Spanish	Czech	Angličtina	čínština	Japonci	španělština	Czech	Angličtina, čínština, Japonci, španělština a Czech	Angličtina, čínština, Japonci, španělština nebo Czech
da	Danish	John	Fredrik	Olga	Nadeem	Botu	John	Fredrik	Olga	Nadeem	Bodu	John, Fredrik, Olga, Nadeem og Bodu	John, Fredrik, Olga, Nadeem eller Bodu	English	Chinese	Japanes	Spanish	Danish	engelsk	kinesisk	Japanes	spansk	Danish	engelsk, kinesisk, Japanes, spansk og Danish	engelsk, kinesisk, Japanes, spansk eller Danish
fi	Finnish	John	Fredrik	Olga	Nadeem	Botu	Johannes	Fredrik	Olga	Nadeem	bodu	Johannes, Fredrik, Olga, Nadeem ja bodu	Johannes, Fredrik, Olga, Nadeem tai bodu	English	Chinese	Japanes	Spanish	Finnish	Englanti	Kiinalainen	Japanes	Espanja	Finnish	Englanti, Kiinalainen, Japanes, Espanja ja Finnish	Englanti, Kiinalainen, Japanes, Espanja tai Finnish
el	Modern Greek (1453-)	John	Fredrik	Olga	Nadeem	Botu	Γιάννης	Fredrik	Όλγα	Nadim	Bodu	Γιάννης, Fredrik, Όλγα, Nadim και Bodu	Γιάννης, Fredrik, Όλγα, Nadim ή Bodu	English	Chinese	Japanes	Spanish	Modern Greek (1453-)	Αγγλικά	κινέζικα	Ιαπωνία	Ισπανικά	Νεοελληνικά (1453-)	Αγγλικά, κινέζικα, Ιαπωνία, Ισπανικά και Νεοελληνικά (1453-)	Αγγλικά, κινέζικα, Ιαπωνία, Ισπανικά ή Νεοελληνικά (1453-)
hi	Hindi	John	Fredrik	Olga	Nadeem	Botu	जॉन	फ्रेड्रिक	ओल्गा	नदीम	Bodu	जॉन, फ्रेड्रिक, ओल्गा, नदीम, और Bodu	जॉन, फ्रेड्रिक, ओल्गा, नदीम या Bodu	English	Chinese	Japanes	Spanish	Hindi	अंग्रेज़ी	चीनी	जापानी	स्पेनिश	हिंदी	अंग्रेज़ी, चीनी, जापानी, स्पेनिश, और हिंदी	अंग्रेज़ी, चीनी, जापानी, स्पेनिश या हिंदी
hu	Hungarian	John	Fredrik	Olga	Nadeem	Botu	János	Fredrik	Olga	Nadeem	Bodu	János, Fredrik, Olga, Nadeem és Bodu	János, Fredrik, Olga, Nadeem vagy Bodu	English	Chinese	Japanes	Spanish	Hungarian	angol	kínai	japanes	spanyol	Hungarian	angol, kínai, japanes, spanyol és Hungarian	angol, kínai, japanes, spanyol vagy Hungarian
id	Indonesian	John	Fredrik	Olga	Nadeem	Botu	John	Fredrik	Olga	Nadim	Bodu	John, Fredrik, Olga, Nadim, dan Bodu	John, Fredrik, Olga, Nadim, atau Bodu	English	Chinese	Japanes	Spanish	Indonesian	Inggris	Cina	Jepang	Spanyol	Indonesian	Inggris, Cina, Jepang, Spanyol, dan Indonesian	Inggris, Cina, Jepang, Spanyol, atau Indonesian
lv	Latvian	John	Fredrik	Olga	Nadeem	Botu	Džons	Fredrik	Olga	Nadims	Bodu	Džons, Fredrik, Olga, Nadims un Bodu	Džons, Fredrik, Olga, Nadims vai Bodu	English	Chinese	Japanes	Spanish	Latvian	Angļu	Ķīniešu	Japāņi	Spāņu valoda	Latvian	Angļu, Ķīniešu, Japāņi, Spāņu valoda un Latvian	Angļu, Ķīniešu, Japāņi, Spāņu valoda vai Latvian
lt	Lithuanian	John	Fredrik	Olga	Nadeem	Botu	Jonas	Fredrikas	Olga	Nadimas	Botu	Jonas, Fredrikas, Olga, Nadimas ir Botu	Jonas, Fredrikas, Olga, Nadimas ar Botu	English	Chinese	Japanes	Spanish	Lithuanian	Anglų	Kinų	Japonai	Ispanų kalba	Lithuanian	Anglų, Kinų, Japonai, Ispanų kalba ir Lithuanian	Anglų, Kinų, Japonai, Ispanų kalba ar Lithuanian
no	Norwegian	John	Fredrik	Olga	Nadeem	Botu	John	Fredrik	olga	Nadeem	Bodu	John, Fredrik, olga, Nadeem and Bodu	John, Fredrik, olga, Nadeem or Bodu	English	Chinese	Japanes	Spanish	Norwegian	Engelsk	kinesisk	japans	spansk	Norwegian	Engelsk, kinesisk, japans, spansk and Norwegian	Engelsk, kinesisk, japans, spansk or Norwegian
ro	Romanian	John	Fredrik	Olga	Nadeem	Botu	Ioan	Fredrik	Olga	Nadeem	Botu	Ioan, Fredrik, Olga, Nadeem și Botu	Ioan, Fredrik, Olga, Nadeem sau Botu	English	Chinese	Japanes	Spanish	Romanian	Engleză	chinez	Japanes	Spaniolă	Romanian	Engleză, chinez, Japanes, Spaniolă și Romanian	Engleză, chinez, Japanes, Spaniolă sau Romanian
sr	Serbian	John	Fredrik	Olga	Nadeem	Botu	Јохн	Фредерик	Олга	Надим	боду	Јохн, Фредерик, Олга, Надим и боду	Јохн, Фредерик, Олга, Надим или боду	English	Chinese	Japanes	Spanish	Serbian	енглески језик	Кинези	Јапанес	Шпански	Српски	енглески језик, Кинези, Јапанес, Шпански и Српски	енглески језик, Кинези, Јапанес, Шпански или Српски
sk	Slovak	John	Fredrik	Olga	Nadeem	Botu	John	Fredrik	olga	Nadeem	bodu	John, Fredrik, olga, Nadeem a bodu	John, Fredrik, olga, Nadeem alebo bodu	English	Chinese	Japanes	Spanish	Slovak	Angličtina	čínsky	japonská	španielsky	Slovak	Angličtina, čínsky, japonská, španielsky a Slovak	Angličtina, čínsky, japonská, španielsky alebo Slovak
sl	Slovenian	John	Fredrik	Olga	Nadeem	Botu	John	Fredrik	Olga	Nadim	Bodu	John, Fredrik, Olga, Nadim in Bodu	John, Fredrik, Olga, Nadim ali Bodu	English	Chinese	Japanes	Spanish	Slovenian	angleščina	Kitajci	Japanes	španski	Slovenian	angleščina, Kitajci, Japanes, španski in Slovenian	angleščina, Kitajci, Japanes, španski ali Slovenian
sv	Swedish	John	Fredrik	Olga	Nadeem	Botu	John	Fredrik	Olga	Nadeem	Bodu	John, Fredrik, Olga, Nadeem och Bodu	John, Fredrik, Olga, Nadeem eller Bodu	English	Chinese	Japanes	Spanish	Swedish	engelsk	kinesisk	japanes	spansk	svenska	engelsk, kinesisk, japanes, spansk och svenska	engelsk, kinesisk, japanes, spansk eller svenska
uk	Ukrainian	John	Fredrik	Olga	Nadeem	Botu	Джон	Фредрік	Ольга	Надім	Bodu	Джон, Фредрік, Ольга, Надім і Bodu	Джон, Фредрік, Ольга, Надім або Bodu	English	Chinese	Japanes	Spanish	Ukrainian	Англійська	Китайці	Japanes	Іспанська	Українська	Англійська, Китайці, Japanes, Іспанська і Українська	Англійська, Китайці, Japanes, Іспанська або Українська
vi	Vietnamese	John	Fredrik	Olga	Nadeem	Botu	John	Fredrik	Olga	Nadim	Bodu	John, Fredrik, Olga, Nadim và Bodu	John, Fredrik, Olga, Nadim hoặc Bodu	English	Chinese	Japanes	Spanish	Vietnamese	Anh	Trung Quốc	Nhật Bản	người Tây Ban Nha	Vietnamese	Anh, Trung Quốc, Nhật Bản, người Tây Ban Nha và Vietnamese	Anh, Trung Quốc, Nhật Bản, người Tây Ban Nha hoặc Vietnamese
fa	Persian	John	Fredrik	Olga	Nadeem	Botu	جان	فردریک	اولگا	نادیم	Bodu	جان،‏ فردریک،‏ اولگا،‏ نادیم، و Bodu	جان، فردریک، اولگا، نادیم، یا Bodu	English	Chinese	Japanes	Spanish	Persian	انگلیسی	چینی ها	ژاپنی ها	اسپانیایی	فارسی	انگلیسی،‏ چینی ها،‏ ژاپنی ها،‏ اسپانیایی، و فارسی	انگلیسی، چینی ها، ژاپنی ها، اسپانیایی، یا فارسی
af	Afrikaans	John	Fredrik	Olga	Nadeem	Botu	John	Fredrik	Olga	Nadeem	Bodu	John, Fredrik, Olga, Nadeem, Bodu	John, Fredrik, Olga, Nadeem, or Bodu	English	Chinese	Japanes	Spanish	Afrikaans	Engels	Chinese	Japannese	Spaans	Afrikaans	Engels, Chinese, Japannese, Spaans, Afrikaans	Engels, Chinese, Japannese, Spaans, or Afrikaans
bn	Bengali	John	Fredrik	Olga	Nadeem	Botu	জন	ফ্রেডরিক	ওলগা	নাদিম	বদু	জন, ফ্রেডরিক, ওলগা, নাদিম এবং বদু	জন, ফ্রেডরিক, ওলগা, নাদিম, বা বদু	English	Chinese	Japanes	Spanish	Bengali	ইংরেজি	চীনা	japanes	স্পেনীয়	বাঙালি	ইংরেজি, চীনা, japanes, স্পেনীয় এবং বাঙালি	ইংরেজি, চীনা, japanes, স্পেনীয়, বা বাঙালি
et	Estonian	John	Fredrik	Olga	Nadeem	Botu	John	Fredrik	Olga	Nadim	Bodu	John, Fredrik, Olga, Nadim ja Bodu	John, Fredrik, Olga, Nadim või Bodu	English	Chinese	Japanes	Spanish	Estonian	Inglise	Hiina keel	Jaapanlased	Hispaania keeles	Estonian	Inglise, Hiina keel, Jaapanlased, Hispaania keeles ja Estonian	Inglise, Hiina keel, Jaapanlased, Hispaania keeles või Estonian
is	Icelandic	John	Fredrik	Olga	Nadeem	Botu	Jóhannes	Fredrik	Olga	Nadim	Bodu	Jóhannes, Fredrik, Olga, Nadim, Bodu	Jóhannes, Fredrik, Olga, Nadim, or Bodu	English	Chinese	Japanes	Spanish	Icelandic	Enska	Kínversku	Japanir	spænska, spænskt	Icelandic	Enska, Kínversku, Japanir, spænska, spænskt, Icelandic	Enska, Kínversku, Japanir, spænska, spænskt, or Icelandic
ms	Malay (macrolanguage)	John	Fredrik	Olga	Nadeem	Botu	John	Fredrik	Olga	Nadim	Bodu	John, Fredrik, Olga, Nadim dan Bodu	John, Fredrik, Olga, Nadim, atau Bodu	English	Chinese	Japanes	Spanish	Malay (macrolanguage)	Bahasa Inggeris	Cina	Jepun	Sepanyol	Malay (macrolanguage)	Bahasa Inggeris, Cina, Jepun, Sepanyol dan Malay (macrolanguage)	Bahasa Inggeris, Cina, Jepun, Sepanyol, atau Malay (macrolanguage)
mr	Marathi	John	Fredrik	Olga	Nadeem	Botu	जॉन	फ्रेडरिक	ओल्गा	नादिम	Bodu	जॉन, फ्रेडरिक, ओल्गा, नादिम आणि Bodu	जॉन, फ्रेडरिक, ओल्गा, नादिम, किंवा Bodu	English	Chinese	Japanes	Spanish	Marathi	इंग्रजी	चीनी	जपान	स्पॅनिश	Marathi	इंग्रजी, चीनी, जपान, स्पॅनिश आणि Marathi	इंग्रजी, चीनी, जपान, स्पॅनिश, किंवा Marathi
sw	Swahili (macrolanguage)	John	Fredrik	Olga	Nadeem	Botu	John	Fredrik	Olga	Nadim	Bodu	John, Fredrik, Olga, Nadim na Bodu	John, Fredrik, Olga, Nadim au Bodu	English	Chinese	Japanes	Spanish	Swahili (macrolanguage)	Kiingereza	Wachina	Japan	Kihispania	Swahili (macrolanguage)	Kiingereza, Wachina, Japan, Kihispania na Swahili (macrolanguage)	Kiingereza, Wachina, Japan, Kihispania au Swahili (macrolanguage)
